marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
',punctuation,3.0,0,2.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0,8.0,0.375,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,1.9056390622295665,0.5508532245479724
être,lemma,3.0,0,2.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0,7.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,1.8423709931771088,0.5325646511558555
un,lemma,0.0,0,1.0,3.0,0.0,1.0,0.0,0,1.0,0.0,0,6.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1.7924812503605778,0.5181432813135509
avoir,lemma,0.0,0,1.0,4.0,0.0,1.0,0.0,0,1.0,0.0,0,7.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,1.6644977792004614,0.4811477614510914
pas,word,1.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
pas,lemma,1.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
à,word,1.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
un,word,0.0,0,1.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
à,lemma,2.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,4.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
!,punctuation,1.0,0,2.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,4.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
en,lemma,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
temps,word,1.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
trop,word,0.0,0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
les,word,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
en,word,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
plus,lemma,0.0,0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
peu,word,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
peu,lemma,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
temps,lemma,1.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
très,lemma,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
très,word,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
trop,lemma,0.0,0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
plus,word,0.0,0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
avais,word,0.0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.2890648263178879
est,word,1.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
de,lemma,6.0,0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0,14.0,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
des,word,4.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,6.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
et,word,0.0,0,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
et,lemma,0.0,0,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
s,word,1.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
prendre,lemma,1.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
l,word,3.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,9.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
prendre,word,1.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
de,word,2.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,8.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8112781244591328,0.23451197014228103
le,lemma,1.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,7.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
apparition,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ai,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
gouvernements,word,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
gouvernement,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
foyers,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
foyer,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
fière,word,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0
fier,lemma,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0
développement,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
développement,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
chine,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
content,lemma,0.0,0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
contente,word,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
craindre,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
critiqué,word,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
d,word,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
dans,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
dans,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
chine,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ce,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
beaucoup,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
beaucoup,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
autre,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
autres,word,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
apparition,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
le,word,0.0,0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
manquer,lemma,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiète,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiéter,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
hors,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiet,lemma,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
hors,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inaction,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inaction,word,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pour,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
peur,word,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
peur,lemma,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
mon,lemma,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ou,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ou,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
panique,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
panique,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
mes,word,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ont,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiets,word,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiétude,lemma,0.0,0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiétudes,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiétude,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pouvoir,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
province,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
super,word,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
super,lemma,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
relais,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
révolter,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
relais,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
qui,word,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
provinces,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
qui,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pour,word,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pourraient,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
triste,lemma,0.0,0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
triste,word,0.0,0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
»,punctuation,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
«,punctuation,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
épidémique,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
épidémiques,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
